id;car_2020;car_2025;car_2030;car_2035;car_2040;car_2045;car_2050;bus_2020;bus_2025;bus_2030;bus_2035;bus_2040;bus_2045;bus_2050;train_2020;train_2025;train_2030;train_2035;train_2040;train_2045;train_2050
3701;0,066873042;0,058477311;0,08032896;0,079798139;0,037293656;0,048373144;0,041298143;0,346009694;0,343175536;0,368827385;0,202793068;0,271405559;0,279540277;0,277513287;0,035423416;0,042655047;0,050420789;0,046038743;0,006026915;0,004666266;0,005966068
3702;0,060046373;0,063567534;0,047158971;0,034399128;0,004662124;0,029405073;0,015317398;0,005460746;0,005392934;0,005874671;0,003192414;0,004523426;0,004659005;0,004625221;0,12242882;0,12999725;0,137319414;0,136266268;0,041710441;0,02962647;0,039527562
3703;0,04858905;0,050470493;0,043926172;0,037016635;0,013171578;0,016405243;0,00781498;0;0;0;0;0;0;0;0,165288573;0,174972768;0,174268368;0,176495162;0,094014555;0,067789746;0,091063243
3704;0,0775741;0,0696928;0,100335292;0,089321752;0,019471077;0,021864467;0,031890469;0;0;0;0;0;0;0;0,178508783;0,185718106;0,182284026;0,183020133;0,117955439;0,108224923;0,121521013
3705;0,130399247;0,142876645;0,154817416;0,154893765;0,085925148;0,05459979;0,081271443;0;0;0;0;0;0;0;0,17887502;0,199407532;0,183042385;0,183300931;0,132702098;0,130745039;0,135165207
3706;0,109697307;0,130205974;0,105089389;0,085509826;0,099755016;0,096952377;0,111763823;0;0;0;0;0;0;0;0,182476124;0,192572003;0,185694956;0,185767398;0,136808502;0,148512822;0,140870366
3707;0,093860424;0,11810228;0,115621752;0,108608346;0,140004167;0,11134531;0,139874195;0;0;0;0;0;0;0;0,186728655;0,188706779;0,183424141;0,18889023;0,138646289;0,1500748;0,138682332
3708;0,110481735;0,119648628;0,110049178;0,108991016;0,142295948;0,127832427;0,14301693;0;0;0;0;0;0;0;0,176837531;0,191774964;0,185997292;0,187960675;0,138817734;0,141851372;0,141774625
3709;0,128565577;0,128467026;0,112110994;0,104985928;0,138680796;0,128633086;0,145832824;0;0;0;0;0;0;0;0,166198293;0,176617559;0,181020577;0,188109899;0,136165964;0,136828516;0,143064847
3710;0,11266201;0,116283015;0,126847867;0,122640221;0,166032936;0,125560942;0,138554462;0;0;0;0;0;0;0;0,175389639;0,193090789;0,182671374;0,186058506;0,135020545;0,144142447;0,139432879
3711;0,161199941;0,173622539;0,190258613;0,199252957;0,144192864;0,136346547;0,150741145;0;0;0;0;0;0;0;0,170608953;0,188366556;0,180133663;0,186866708;0,136766842;0,141883064;0,133029712
3712;0,216764641;0,238707138;0,211943274;0,241707002;0,147253351;0,149312629;0,158898678;0;0;0;0;0;0;0;0,179599346;0,189881926;0,184239003;0,182830098;0,136038687;0,143935833;0,133335984
3713;0,244960977;0,256033367;0,276171102;0,245795106;0,119822657;0,145107837;0,158251641;0;0;0;0;0;0;0;0,171024506;0,188402161;0,1829535;0,179610015;0,129691245;0,123706795;0,133601433
3714;0,288085475;0,280436332;0,292729398;0,258683764;0,208896939;0,212521906;0,221815566;0;0;0;0;0;0;0;0,161275279;0,188865106;0,178978666;0,181195504;0,126565472;0,112251424;0,130573139
3715;0,228645004;0,221881863;0,155342823;0,150912251;0,188486592;0,206329916;0,191549941;0;0;0;0;0;0;0;0,157127846;0,180074259;0,177952656;0,182175365;0,115361766;0,113754613;0,117298412
3716;0,154160331;0,144049482;0,10751309;0,091053208;0,125542139;0,166551853;0,141730602;0;0;0;0;0;0;0;0,156307622;0,173705412;0,165436649;0,172059717;0,080305023;0,085199575;0,081568638
3717;0,118678307;0,111467621;0,100071472;0,084145195;0,107882892;0,127617851;0,103112029;0,175049767;0,182450383;0,172809965;0,18891567;0,103264721;0,104717307;0,104450704;0,137876957;0,162468985;0,15169788;0,150676715;0,02029798;0,019330338;0,016838493
3718;0,106190033;0,103319585;0,103755756;0,110830391;0,146879003;0,148415252;0,155693224;0,348613112;0,36382583;0,346330051;0,369371557;0,206529441;0,209434614;0,208901408;0,060303662;0,072555851;0,073736281;0,072962168;0,0057169;0,004592273;0,004498417
3719;0,082721593;0,088720397;0,077109595;0,081249613;0,107670988;0,140979435;0,11123893;0,348613112;0,36382583;0,346330051;0,369371557;0,206529441;0,209434614;0,208901408;0,012042012;0,009836158;0,008781139;0,008588311;0,002780078;0,002194514;0,002496797
3720;0,055051852;0,057152719;0,039692754;0,022871175;0,033009967;0,052970738;0,028231669;0,348295442;0,36382583;0,346330051;0,369371557;0,206529441;0,353145899;0,208901408;0,000594637;0,001343252;0,000904721;0,001313011;0,000694141;0,000511247;0,001003032
3721;0,052242357;0,058361363;0,056381377;0,051706232;0,043618815;0,04306248;0,060915971;0,348295442;0,36382583;0,346330051;0,369371557;0,206529441;0,353145899;0,208901408;0,000519997;0,000268887;0,001674894;0,001293635;0,00163283;8,01E-10;0,002594553
3722;0,055196855;0,060104837;0,055388057;0,051611422;0,058409824;0,060861504;0,048552391;0,348295442;0,36382583;0,346330051;0,369371557;0,206529441;0,353145899;0,208901408;0,001759501;0,000263336;0,001137907;0,001649576;0,00200304;0,002682675;0,00183595
3723;0,06615243;0,054630609;0,04890573;0,05426206;0,038057694;0,059161011;0,045717426;0,348295442;0,36382583;0,346330051;0,369371557;0,206529441;0,353145899;0,208901408;0,003579544;0,000841722;0,000851608;0,001965023;0,001865042;0,000532245;0,00176704
3724;0,048151699;0,04792222;0,04041483;0,044969708;0,030261909;0,049217964;0,035650568;0,348107662;0,363695853;0,34614555;0,369124891;0,206374139;0,353070686;0,208556436;0,003994134;0,002340632;0,002140495;0,002852217;0,002423691;0,002406122;0,003035297
3725;0,06469306;0,073815412;0,081264886;0,104626601;0,075959335;0,068978063;0,079367078;0,334688306;0,347874004;0,331414793;0,351472638;0,198564931;0,337764952;0,1993069;0,045004303;0,041245499;0,048496348;0,047986432;0,048866511;0,046140235;0,046510285
3726;0,066751778;0,063870753;0,047113662;0,050519559;0,036151298;0,064007673;0,033316388;0,005525258;0,00553042;0,005635987;0,005464747;0,003104598;0,005248717;0,003520579;0,131300402;0,141007629;0,135679355;0,134355607;0,138674033;0,13689568;0,136482981
3727;0,04816476;0,046269856;0,050117864;0,041911416;0,044510788;0,048677802;0,046512742;0;0;0;0;0;0;0;0,16140267;0,184542796;0,174929284;0,178238838;0,175502984;0,176865367;0,178094909
