index;middle_2020;east_2020;swest_2020;north_2020;middle_2025;east_2025;swest_2025;north_2025;middle_2030;east_2030;swest_2030;north_2030;middle_2035;east_2035;swest_2035;north_2035;middle_2040;east_2040;swest_2040;north_2040;middle_2045;east_2045;swest_2045;north_2045;middle_2050;east_2050;swest_2050;north_2050
3806;155,2151969;150,7040767;97,98430981;79,13419305;142,8245456;139,1327728;89,59763178;72,13446687;149,0596865;144,958654;93,3330271;75,1260032;102,1939852;97,63999736;64,93250137;52,78091629;104,441803;99,69091682;66,20588876;53,71983552;103,9403652;99,74821975;65,65536274;53,25353692;103,9403652;99,74821975;65,65536274;53,25353692
3807;184,9121029;179,2212822;116,3486378;93,8552231;171,475348;166,2982254;107,8866075;87,06056096;162,2727947;157,584765;101,6043133;81,81402503;118,0736571;112,2559009;75,2392628;61,3292806;111,2758283;105,8894797;70,6354889;57,39573872;116,3097788;110,8869726;73,9499292;60,27927381;116,3097788;110,8869726;73,9499292;60,27927381
3808;151,8446356;147,509462;95,31101661;76,79910024;155,5569962;150,8573526;97,90949513;79,02037295;146,2157941;141,9134683;91,95254701;74,21635623;110,9705187;105,976573;70,2759786;57,0297849;115,9916811;110,5994309;74,02588937;60,22207195;122,56059;116,6300759;78,48769634;64,15215731;122,56059;116,6300759;78,48769634;64,15215731
3809;91,69853435;89,33698983;57,88822297;46,76096063;91,6087029;88,92670554;57,70366965;46,49027195;92,23759262;89,42026591;58,22479793;47,02566412;79,53337724;77,16253797;49,96825834;40,2064859;85,75358085;83,20937017;54,10604081;43,62833614;80,95092475;78,50446455;51,03654776;41,18022448;80,95092475;78,50446455;51,03654776;41,18022448
3810;96,89618074;94,00583122;61,29604458;49,55448768;97,57786323;94,9044404;61,52189191;49,549155;91,19024437;88,38901597;57,77446716;46,75951597;93,72557764;90,63541776;59,30317148;47,87843418;91,75710343;89,29347491;57,67616711;46,40731773;83,64025231;81,09102606;52,76085905;42,55414622;83,64025231;81,09102606;52,76085905;42,55414622
3811;158,7411594;154,5058432;100,1969567;80,75359907;157,5187086;153,1205444;99,11940329;79,75252128;152,4972165;148,1981939;95,86135197;77,15537677;181,7456201;176,9938933;114,5980835;92,20986735;169,5906147;165,9663265;106,7424535;85,87396851;175,8697366;171,1943992;110,9105728;89,26502675;175,8697366;171,1943992;110,9105728;89,26502675
3812;178,1155874;173,6368355;111,326693;89,22530564;179,5238019;174,6370197;113,1272867;91,0574903;172,2978235;167,8854577;108,2399436;87,03111872;227,4805559;223,2756834;142,9637538;114,8168821;210,9069448;206,8168678;132,3346402;106,1967168;220,7493999;216,1914856;138,7800015;111,5286269;220,7493999;216,1914856;138,7800015;111,5286269
3813;148,7581861;145,0979574;93,1971154;74,7894029;158,8241643;154,8905799;99,78048923;80,18982802;154,7285945;151,4178977;97,16452728;78,09782535;189,502293;186,5577409;118,4690348;94,90546303;170,6534599;167,2449406;107,346862;86,23425145;176,2345538;172,636738;110,4104324;88,47150902;176,2345538;172,636738;110,4104324;88,47150902
3814;128,7691386;125,6364227;80,77646771;64,87374036;130,7832874;127,9084616;81,78544611;65,57277897;134,8148407;131,542474;84,60544026;67,96428176;157,3930404;155,2216938;98,37548147;78,76643516;160,1122988;157,7219967;100,0518392;80,09523081;163,299664;161,1453884;101,9705121;81,66317921;163,299664;161,1453884;101,9705121;81,66317921
3815;118,0682332;115,3989768;73,80972653;59,13524731;118,5460991;116,0421671;74,36669409;59,71531749;120,1814426;117,2305418;75,39060132;60,58422862;123,7119946;121,6131334;77,42551227;62,02639321;134,4349762;132,3126068;83,99175327;67,22802744;127,447891;125,4483977;79,96271014;64,18882115;127,447891;125,4483977;79,96271014;64,18882115
3816;25,6916184;25,1852796;16,03026731;12,83408419;76,52259404;75,16659856;47,71514648;38,20552855;74,48493001;72,95352437;46,63217556;37,36748371;79,7167178;77,96499155;49,69843896;39,73743641;25,62154394;25,12351935;16,01442157;12,8311633;26,33168039;25,78560234;16,45197711;13,1774746;26,33168039;25,78560234;16,45197711;13,1774746
3817;26,15275228;25,64050458;16,33583156;13,08539279;26,1888593;25,64674775;16,37131418;13,11932479;27,53255045;26,96350701;17,21984921;13,80433675;26,74351218;26,22069763;16,7093636;13,38616766;26,96765494;26,46368312;16,82787909;13,46802606;26,04030422;25,52159638;16,25696895;13,01811145;26,04030422;25,52159638;16,25696895;13,01811145
3818;27,0736473;26,53689002;16,91560104;13,55246355;26,72600172;26,2175437;16,69110386;13,37052274;27,18034906;26,61378731;17,01047899;13,64143064;27,19043661;26,65165806;16,99985677;13,62561733;27,67659459;27,14447327;17,27663276;13,83209931;27,29283255;26,73144063;17,06387662;13,67430617;27,29283255;26,73144063;17,06387662;13,67430617
3819;28,12890441;27,57227127;17,57741261;14,0813135;27,93686987;27,39114644;17,46755831;14,00338182;28,60973504;28,03772097;17,88330513;14,32821389;28,98780412;28,41222927;18,10900302;14,5029289;29,09564162;28,53982562;18,1759336;14,56134105;28,84433137;28,26242558;18,01819743;14,43109785;28,84433137;28,26242558;18,01819743;14,43109785
3820;29,90656371;29,30895684;18,69643209;14,98107406;29,91422315;29,31527829;18,67802408;14,96189548;30,7663555;30,15926543;19,2312715;15,40980399;30,140782;29,52545943;18,85520983;15,11457245;31,16178616;30,56634312;19,45023627;15,57490222;30,23150011;29,6124863;18,89425138;15,13763074;30,23150011;29,6124863;18,89425138;15,13763074
3821;33,82270652;33,13767576;21,14522038;16,94477079;34,55176149;33,86949491;21,58796368;17,30074722;34,97859959;34,29891869;21,85547371;17,51043204;34,078674;33,39735831;21,31187159;17,08544901;34,97894517;34,30502848;21,83552955;17,48519722;34,21094658;33,52796318;21,36149826;17,11093998;34,21094658;33,52796318;21,36149826;17,11093998
3822;82,32632473;80,82787323;51,4527261;41,20809502;36,46538037;35,74162817;22,76954235;18,23780837;36,72541685;36,01028697;22,91579145;18,34550711;36,31655786;35,59470425;22,72185926;18,21502939;91,12856525;89,49002128;57,03417616;45,70536489;87,19221464;85,63709455;54,59582938;43,7845295;87,19221464;85,63709455;54,59582938;43,7845295
3823;177,9712141;174,2459672;110,8316337;88,48350803;38,03593122;37,29460916;23,76331687;19,03782833;37,90846487;37,15315727;23,66106024;18,94417849;38,0302266;37,27808515;23,78348563;19,0638668;173,4992;169,6437338;108,3608896;86,70260289;173,6743579;169,6386132;108,2673785;86,47330053;173,6743579;169,6386132;108,2673785;86,47330053
3824;135,789903;132,2035779;85,08142596;68,26460056;46,92097295;45,97709845;29,32205448;23,49750198;46,18739909;45,14481124;28,94954084;23,22283828;46,83387466;45,93519108;29,21411955;23,38917224;139,4489672;135,6235972;87,46786061;70,15498243;138,2750279;134,8776658;86,48960605;69,26513459;138,2750279;134,8776658;86,48960605;69,26513459
3825;87,03080006;84,88802609;54,52092895;43,81027643;134,2441116;131,1114304;84,27762701;67,651288;128,9244806;125,4418981;81,28551931;65,43885228;129,8340065;126,6834383;81,48211738;65,36980198;90,34852712;87,73115946;56,91906984;45,84779474;92,81682347;90,45961039;58,47487785;47,03934099;92,81682347;90,45961039;58,47487785;47,03934099
3826;85,9637761;83,59522954;54,06380947;43,50074575;168,9133333;164,7279346;106,1907897;85,32131854;169,9261419;165,6048112;107,1887292;86,31685758;162,4636522;158,4925814;101,9027254;81,75383786;89,90054594;87,19712325;56,60495057;45,60526251;88,66262848;86,279294;55,9367001;45,02881975;88,66262848;86,279294;55,9367001;45,02881975
3827;85,54873156;83,0187279;53,81418544;43,30169424;162,4227996;158,4043539;102,2570908;82,32878238;160,907425;156,8446083;100,9587341;81,05245066;157,0642728;153,3026099;98,64099432;79,23893993;95,81245953;92,75380955;60,50859323;48,79513922;90,52913609;88,08279303;56,78994288;45,58508296;90,52913609;88,08279303;56,78994288;45,58508296
3828;91,46381686;88,73897672;57,54815535;46,3901617;123,041061;119,2787814;77,95415582;63,00002724;118,6662863;115,4944299;74,87863502;60,3234754;120,4807827;117,1258211;76,09283356;61,39338977;98,14067468;95,31613041;61,86677254;49,91663196;95,23614191;92,72475871;59,88346128;48,2119495;95,23614191;92,72475871;59,88346128;48,2119495
3829;89,67140044;86,93287384;56,46379204;45,50831;114,9455159;111,3822088;72,74928011;58,76532139;123,3625835;120,0862625;77,91753047;62,86612872;112,9205009;109,9827391;71,11864595;57,30496829;95,70293838;92,9517673;60,24120193;48,55962974;89,67381816;87,11089172;56,3214636;45,36027064;89,67381816;87,11089172;56,3214636;45,36027064
3830;107,4162972;102,6403871;68,35056554;55,59097168;143,3122991;138,9398325;90,24013935;72,76195831;158,4927703;154,4998584;99,62074655;80,28161467;147,7207446;143,1557932;93,17291106;75,23668666;111,2871211;106,4824769;70,71902259;57,46265383;103,3647002;98,77086457;65,39741493;53,10107979;103,3647002;98,77086457;65,39741493;53,10107979
3831;111,3745995;106,0299736;70,72500496;57,55483314;181,3749918;176,2186022;114,0978731;91,99019061;174,4984511;169,4635408;109,7570064;88,60407023;177,063397;171,5774423;111,3643336;89,8140639;119,3720852;113,7695938;75,72239359;61,53943394;116,0050151;110,417121;73,7823411;60,09592631;116,0050151;110,417121;73,7823411;60,09592631
3832;115,2865395;110,1320464;73,0981184;59,39435547;162,9870127;158,3385842;102,8898977;83,16119446;153,6910725;149,5665704;96,26026696;77,45274684;156,9391154;151,8464345;98,69225742;79,57780226;113,6455745;108,7442409;71,9728252;58,39347775;120,3929033;114,7736025;76,77996113;62,5320819;120,3929033;114,7736025;76,77996113;62,5320819
3833;82,71287496;80,26971537;51,97607391;41,83760926;99,89415663;96,71788438;63,41617895;51,33760015;95,31929321;92,68106137;59,9105192;48,23251271;103,6597966;99,99495311;65,63740533;53,03282233;83,71690794;80,98014929;52,74998837;42,52276024;85,91725966;83,43294823;54,05991164;43,51502216;85,91725966;83,43294823;54,05991164;43,51502216
3834;95,87767173;93,05198111;60,53801844;48,86431428;101,0955234;98,20495362;63,98651958;51,69528382;104,0575694;100,8016541;65,98825613;53,39114696;104,109253;100,7098384;65,98566887;53,31120104;91,27119847;88,48607179;57,66357939;46,56553157;93,5465363;90,69949041;59,0833884;47,64475626;93,5465363;90,69949041;59,0833884;47,64475626
3835;176,7469342;172,7467971;111,4531387;89,76221741;163,9683057;159,4076816;103,2017461;83,0409231;167,8106997;162,4601058;105,9412956;85,4266254;160,812807;156,0590387;101,6579006;81,99467588;178,4742528;174,1377283;112,9510712;91,13822257;176,7904077;172,3600674;111,4721674;89,70163955;176,7904077;172,3600674;111,4721674;89,70163955
3836;211,0544408;206,6212554;132,8957665;106,8597444;181,0986686;176,1521069;113,5308254;91,17134203;171,869528;167,2217718;108,1744618;87,01794319;178,0687099;173,2883437;112,0436091;90,09483464;227,7343814;223,4240296;143,438407;115,3025594;222,0661414;217,4173553;139,6231251;112,1408378;222,0661414;217,4173553;139,6231251;112,1408378
3837;183,4871693;180,2931009;115,3133232;92,65414974;149,4955826;145,5222139;94,0666855;75,6570744;149,4766485;145,7587904;93,95670644;75,5696606;146,8420826;143,1465735;91,74388734;73,51349695;186,6539571;183,2706072;117,1606779;93,96975531;183,7538694;180,596226;115,4606603;92,7305081;183,7538694;180,596226;115,4606603;92,7305081
3838;168,7452935;166,560739;105,2552136;84,20734569;136,1613363;132,8146257;85,40220886;68,5872778;136,2279077;133,0016874;85,20892832;68,33139886;128,1583587;125,2518563;80,38331219;64,54703095;157,2911591;154,9809613;98,39638963;78,85137397;167,4408101;164,9636668;104,8466785;84,06061523;167,4408101;164,9636668;104,8466785;84,06061523
3839;138,2487594;135,8411618;86,41062236;69,18794784;115,9908244;113,3247167;72,87983961;58,51105397;128,8825494;125,8435205;80,81609924;64,91697373;112,6711403;110,4520302;70,2618987;56,22919245;128,624886;126,4806373;80,0784781;63,98374186;131,4573168;129,2501614;82,23778106;65,88122446;131,4573168;129,2501614;82,23778106;65,88122446
3840;25,60442768;25,09718764;16,00876669;12,83179134;25,69610283;25,20530171;16,0558247;12,86908811;77,10603859;75,36030346;48,10958411;38,51219251;80,12199222;78,44105657;50,07422606;40,10478218;77,24524288;75,45483405;48,28571272;38,65392822;82,49671629;80,92349283;51,39312782;41,09999649;82,49671629;80,92349283;51,39312782;41,09999649
3841;25,87779329;25,37923948;16,14960606;12,92627196;26,33754005;25,84138532;16,4404828;13,16774866;26,38817213;25,88753234;16,49253896;13,21629704;26,67434524;26,15031972;16,67082335;13,35532798;26,98581846;26,45605704;16,84351806;13,48306649;27,58243983;27,03722989;17,25623304;13,83734291;27,58243983;27,03722989;17,25623304;13,83734291
3842;26,75151016;26,21816115;16,71864032;13,39603328;26,57907533;26,05947156;16,59947909;13,29686706;26,79145715;26,3157328;16,71229127;13,3771691;27,20431765;26,68867108;16,99580952;13,61389109;26,42650281;25,90813689;16,50373078;13,21495073;27,47048118;26,93263513;17,16154115;13,74753756;27,47048118;26,93263513;17,16154115;13,74753756
3843;28,27348995;27,72639108;17,65873739;14,14454285;28,02363936;27,47251504;17,51200123;14,03115688;27,93227837;27,40050957;17,44933419;13,98057442;28,4820779;27,92127206;17,7994953;14,26094635;27,92100759;27,36011612;17,45316821;13,98343782;28,43939947;27,87770823;17,77852998;14,25004988;28,43939947;27,87770823;17,77852998;14,25004988
