;G0;G3;HA4;Prozessgas;T24
6758;0,018448120999999998;0,02425265625;0,093345;0,046338;0,135494
6759;0,01661503775;0,02380367975;0,092168;0,046148;0,139035
6760;0,01541587425;0,023828592;0,094256;0,047495;0,146437
6761;0,018006957;0,0245582175;0,093371;0,055095;0,153839
6762;0,019951780500000002;0,0250383495;0,102629;0,05785;0,160598
6763;0,0209086435;0,0265226375;0,105757;0,059778;0,165104
6764;0,021946273250000002;0,027900784749999998;0,119663;0,060648;0,163816
6765;0,0206414145;0,02566202125;0,129641;0,062966;0,149655
6766;0,01810629575;0,0232111635;0,111985;0,06517;0,126161
6767;0,01614907025;0,02195151925;0,111474;0,070756;0,092368
6768;0,0170686655;0,022431588750000002;0,019018;0,108994;0,032799
6769;0,0149126395;0,022207132;0,020754;0,105472;0,03205
6770;0,01374438675;0,02245032;0,025619;0,107333;0,031002
6771;0,013818984;0,021228075;0,026928;0,111657;0,034746
6772;0,0164224685;0,020105540249999998;0,028202;0,132961;0,05122
6773;0,01865309175;0,0205296045;0,042523;0,15819;0,078627
6774;0,02018784875;0,023242319;0,056618;0,188254;0,090459
6775;0,0267991395;0,02554969925;0,062124;0,196219;0,082821
6776;0,04332717825;0,0305200325;0,051804;0,19929;0,078328
6777;0,052523257000000004;0,03303944525;0,045545;0,200333;0,073236
6778;0,053231587250000004;0,03340738;0,037238;0,198921;0,069491
6779;0,054859513;0,03489778675;0,033871;0,196131;0,065897
6780;0,051038231;0,03477316475;0,030456;0,194348;0,064399
6781;0,043470078499999995;0,033800164;0,028494;0,192398;0,062452
6782;0,04105922525;0,033251477749999994;0,024704;0,190863;0,060206
6783;0,04444557475;0,033295120250000004;0,024033;0,179727;0,060506
6784;0,04545223125;0,033207835;0,023692;0,174787;0,062003
6785;0,04460717075;0,033700454000000005;0,022968;0,162363;0,065298
6786;0,035827452499999995;0,03425544625;0,026286;0,149436;0,07024
6787;0,0252395165;0,0319481285;0,029282;0,139407;0,075632
6788;0,0226422015;0,03021447125;0,025546;0,13359;0,077579
6789;0,0214119405;0,027782344;0,024417;0,124855;0,074284
6790;0,020299651000000002;0,0251318785;0,019822;0,112091;0,061404
6791;0,0194919205;0,023647715;0,017338;0,112039;0,043282
6792;0,0170686655;0,022431588750000002;0,014998;0,108994;0,028232
6793;0,0149126395;0,022207132;0,016367;0,105472;0,027588
6794;0,01374438675;0,02245032;0,020204;0,107333;0,026685
6795;0,013818984;0,021228075;0,021237;0,111657;0,029908
6796;0,0164224685;0,020105540249999998;0,022241;0,132961;0,044089
6797;0,01865309175;0,0205296045;0,033535;0,15819;0,06768
6798;0,02018784875;0,023242319;0,044651;0,188254;0,077865
6799;0,0267991395;0,02554969925;0,048994;0,196219;0,07129
6800;0,04332717825;0,0305200325;0,040855;0,19929;0,067422
6801;0,052523257000000004;0,03303944525;0,035919;0,200333;0,063039
6802;0,053231587250000004;0,03340738;0,029367;0,198921;0,059816
6803;0,054859513;0,03489778675;0,026712;0,196131;0,056723
6804;0,051038231;0,03477316475;0,024018;0,194348;0,055433
6805;0,043470078499999995;0,033800164;0,022472;0,192398;0,053757
6806;0,04105922525;0,033251477749999994;0,019482;0,190863;0,051824
6807;0,04444557475;0,033295120250000004;0,018954;0,179727;0,052082
6808;0,04545223125;0,033207835;0,018685;0,174787;0,053371
6809;0,04460717075;0,033700454000000005;0,018114;0,162363;0,056207
6810;0,035827452499999995;0,03425544625;0,02073;0,149436;0,060461
6811;0,0252395165;0,0319481285;0,023093;0,139407;0,065102
6812;0,0226422015;0,03021447125;0,020147;0,13359;0,066778
6813;0,0214119405;0,027782344;0,019256;0,124855;0,063942
6814;0,020299651000000002;0,0251318785;0,015633;0,112091;0,052855
6815;0,0194919205;0,023647715;0,013674;0,112039;0,037256
6816;0,0170686655;0,022431588750000002;0,059472;0,108994;0,062592
6817;0,0149126395;0,022207132;0,063158;0,105472;0,068739
6818;0,01374438675;0,02245032;0,06943;0,107333;0,065665
6819;0,013818984;0,021228075;0,069389;0,111657;0,072092
6820;0,0164224685;0,020105540249999998;0,073196;0,132961;0,096682
6821;0,01865309175;0,0205296045;0,084038;0,15819;0,143067
6822;0,02018784875;0,023242319;0,112473;0,188254;0,14642
6823;0,0267991395;0,02554969925;0,142383;0,196219;0,141949
6824;0,04332717825;0,0305200325;0,148355;0,19929;0,138317
6825;0,052523257000000004;0,03303944525;0,130709;0,200333;0,130772
6826;0,053231587250000004;0,03340738;0,116639;0,198921;0,126022
6827;0,054859513;0,03489778675;0,109513;0,196131;0,121551
6828;0,051038231;0,03477316475;0,10097;0,194348;0,119316
6829;0,043470078499999995;0,033800164;0,09221;0,192398;0,11736
6830;0,04105922525;0,033251477749999994;0,089392;0,190863;0,117639
6831;0,04444557475;0,033295120250000004;0,086927;0,179727;0,120713
6832;0,04545223125;0,033207835;0,087971;0,174787;0,12714
6833;0,04460717075;0,033700454000000005;0,091598;0,162363;0,133566
6834;0,035827452499999995;0,03425544625;0,085192;0,149436;0,139434
6835;0,0252395165;0,0319481285;0,077585;0,139407;0,143346
6836;0,0226422015;0,03021447125;0,063861;0,13359;0,142229
6837;0,0214119405;0,027782344;0,058241;0,124855;0,129934
6838;0,020299651000000002;0,0251318785;0,054795;0,112091;0,109536
6839;0,0194919205;0,023647715;0,058577;0,112039;0,080196
6840;0,0170686655;0,022431588750000002;0,075735;0,108994;0,072163
6841;0,0149126395;0,022207132;0,08043;0,105472;0,07925
6842;0,01374438675;0,02245032;0,088417;0,107333;0,075706
6843;0,013818984;0,021228075;0,088365;0,111657;0,083116
6844;0,0164224685;0,020105540249999998;0,093212;0,132961;0,111466
6845;0,01865309175;0,0205296045;0,107019;0,15819;0,164943
6846;0,02018784875;0,023242319;0,14323;0,188254;0,168809
6847;0,0267991395;0,02554969925;0,18132;0,196219;0,163655
6848;0,04332717825;0,0305200325;0,188925;0,19929;0,159467
6849;0,052523257000000004;0,03303944525;0,166454;0,200333;0,150769
6850;0,053231587250000004;0,03340738;0,148536;0,198921;0,145292
6851;0,054859513;0,03489778675;0,139461;0,196131;0,140137
6852;0,051038231;0,03477316475;0,128582;0,194348;0,13756
6853;0,043470078499999995;0,033800164;0,117427;0,192398;0,135305
6854;0,04105922525;0,033251477749999994;0,113837;0,190863;0,135627
6855;0,04444557475;0,033295120250000004;0,110699;0,179727;0,139171
6856;0,04545223125;0,033207835;0,112027;0,174787;0,146581
6857;0,04460717075;0,033700454000000005;0,116647;0,162363;0,15399
6858;0,035827452499999995;0,03425544625;0,108489;0,149436;0,160755
6859;0,0252395165;0,0319481285;0,098801;0,139407;0,165266
6860;0,0226422015;0,03021447125;0,081325;0,13359;0,163977
6861;0,0214119405;0,027782344;0,074168;0,124855;0,149802
6862;0,020299651000000002;0,0251318785;0,06978;0,112091;0,126285
6863;0,0194919205;0,023647715;0,074596;0,112039;0,092458
6864;0,0170686655;0,022431588750000002;0,123063;0,108994;0,099278
6865;0,0149126395;0,022207132;0,127537;0,105472;0,106066
6866;0,01374438675;0,02245032;0,132958;0,107333;0,107763
6867;0,013818984;0,021228075;0,134924;0,111657;0,116673
6868;0,0164224685;0,020105540249999998;0,144229;0,132961;0,143826
6869;0,01865309175;0,0205296045;0,162608;0,15819;0,214678
6870;0,02018784875;0,023242319;0,22665;0,188254;0,214678
6871;0,0267991395;0,02554969925;0,281265;0,196219;0,208739
6872;0,04332717825;0,0305200325;0,290918;0,19929;0,205769
6873;0,052523257000000004;0,03303944525;0,275949;0,200333;0,201526
6874;0,053231587250000004;0,03340738;0,259417;0,198921;0,196011
6875;0,054859513;0,03489778675;0,24472;0,196131;0,189222
