index;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east
280;0,00071057;0,000503385;0,003993903;0,000542889
281;0;0;0;0
282;0;0;0;0
283;0;0;0;0
284;0;0;0;0
285;0;0;0;0
286;0;0;0;0
287;0;0;0;0
288;0;0;0;0
289;0;0;0;0
290;0;0;0;0
291;0;0;0;0
292;0;0;0;0
293;0;0;0;0
294;0;0;0;0
295;0;0;0;0
296;0;0;0;0
297;0,112279168;0,124918449;0,075635104;0,133107217
298;0,228335842;0,202644809;0,164834842;0,250053849
299;0,291116882;0,246284289;0,232768776;0,30854089
300;0,271271013;0,247729026;0,270406579;0,29836946
301;0,282604733;0,238959474;0,240243844;0,289583775
302;0,206215236;0,195366947;0,156759967;0,166311845
303;0,055107561;0,111868382;0,086441495;0,056072163
304;0,000641832;0,000597736;0,001272312;0,000463173
305;0;0;0;0
306;0;0;0;0
307;0;0;0;0
308;0;0;0;0
309;0;0;0;0
310;0;0;0;0
311;0;0;0;0
312;0;0;0;0
313;0;0;0;0
314;0;0;0;0
315;0;0;0;0
316;0;0;0;0
317;0;0;0;0
318;0;0;0;0
319;0;0;0;0
320;0;0;0;0
321;0;0,021144205;0,018243415;0,002047898
322;0,007856527;0,04970593;0,039572546;0,010691558
323;0,018556922;0,072521937;0,057929373;0,019100144
324;0,022323352;0,08058405;0,062806804;0,022132406
325;0,020579073;0,074762002;0,057048083;0,019926533
326;0,013607254;0,053534242;0,041018728;0,012633742
327;0,004046063;0,022374567;0,018547219;0,003629593
328;0;0,000426867;0,000571552;0
329;0;0;0;0
330;0;0;0;0
331;0;0;0;0
332;0;0;0;0
333;0;0;0;0
334;0;0;0;0
335;0;0;0;0
336;0;0;0;0
337;0;0;0;0
338;0;0;0;0
339;0;0;0;0
340;0;0;0;0
341;0;0;0;0
342;0;0;0;0
343;0;0;0;0
344;0;0;0;0
345;0,005355062;0,011588764;0,005481982;0,007438276
346;0,019025739;0,032004292;0,019584853;0,022279046
347;0,027962641;0,043319471;0,031671762;0,03232093
348;0,0355569;0,057751429;0,035178138;0,035857646
349;0,033401593;0,048767574;0,032193312;0,030254957
350;0,022807338;0,032704026;0,023969147;0,019111701
351;0,008645522;0,014717269;0,009348025;0,007365317
352;0,000256713;0,00039869;0,000442648;0,000166528
353;0;0;0;0
354;0;0;0;0
355;0;0;0;0
356;0;0;0;0
357;0;0;0;0
358;0;0;0;0
359;0;0;0;0
360;0;0;0;0
361;0;0;0;0
362;0;0;0;0
363;0;0;0;0
364;0;0;0;0
365;0;0;0;0
366;0;0;0;0
367;0;0;0;0
368;0;0;0;0
369;0,001868714;0;0,01569343;0,001945208
370;0,009626354;0,002778256;0,031748814;0,011299696
371;0,016350087;0,007400207;0,049899043;0,017800121
372;0,019033926;0,010227075;0,053971034;0,02049913
373;0,017899567;0,354369868;0,051683534;0,018820105
374;0,011746337;0,204179842;0,039002838;0,011890401
375;0,003387744;0,084229603;0,020668646;0,003161821
376;0;0,001860701;0,000825152;0
377;0;0;0;0
378;0;0;0;0
379;0;0;0;0
380;0;0;0;0
381;0;0;0;0
382;0;0;0;0
383;0;0;0;0
384;0;0;0;0
385;0;0;0;0
386;0;0;0;0
387;0;0;0;0
388;0;0;0;0
389;0;0;0;0
390;0;0;0;0
391;0;0;0;0
392;0;0;0;0
393;0,049138799;0,003180684;0;0,162519651
394;0,17224875;0,021323088;0,004149429;0,305094711
395;0,294855379;0,031229311;0,011048769;0,35647196
396;0,379857434;0,051758179;0,013606917;0,348667974
397;0,389479382;0,421121527;0,339881566;0,362768846
398;0,44286;0,305364395;0,292460487;0,245694355
399;0,21631804;0,15332968;0,127778064;0,09242102
400;0,008741959;0,000950365;0,00229991;0,000872284
401;0;0;0;0
402;0;0;0;0
403;0;0;0;0
404;0;0;0;0
405;0;0;0;0
406;0;0;0;0
407;0;0;0;0
408;0;0;0;0
409;0;0;0;0
410;0;0;0;0
411;0;0;0;0
412;0;0;0;0
413;0;0;0;0
414;0;0;0;0
415;0;0;0;0
416;0;0;0;0
417;0,150299586;0,045400855;0;0,029056644
418;0,266748987;0,094866959;0,00392576;0,096301102
419;0,317095658;0,243763224;0,011062711;0,204052224
420;0,326113224;0,171628958;0,013826108;0,339816553
421;0,28894496;0,053173299;0,424665948;0,349672066
422;0,218113125;0,059233007;0,272417653;0,431795724
423;0,098324696;0,035554251;0,132883524;0,216428803
424;0,001184742;0,001090981;0,004145954;0,007010971
425;0;0;0;0
426;0;0;0;0
427;0;0;0;0
428;0;0;0;0
429;0;0;0;0
430;0;0;0;0
431;0;0;0;0
432;0;0;0;0
433;0;0;0;0
434;0;0;0;0
435;0;0;0;0
436;0;0;0;0
437;0;0;0;0
438;0;0;0;0
439;0;0;0;0
440;0;0;0;0
441;0;0,055160775;0,001697436;0,005799728
442;0,00688446;0,107947366;0,008869408;0,022709337
443;0,02134984;0,138779013;0,016726754;0,028259053
444;0,025653446;0,15062104;0,016961235;0,030568705
445;0,353072014;0,132994287;0,394733408;0,362282211
446;0,297143842;0,094886223;0,331918658;0,253881198
447;0,173416579;0,036964555;0,169654725;0,144998365
448;0,003753523;0,000781913;0,005497537;0,00098878
449;0;0;0;0
450;0;0;0;0
451;0;0;0;0
452;0;0;0;0
453;0;0;0;0
454;0;0;0;0
455;0;0;0;0
