index;Wind_east;Wind_swest;Wind_north;Wind_middle
234;1;1;1;1
235;1;1;1;1
236;0,993625;0,9989775;0,99841;0,991515
237;0,8251725;0,7563625;0,8345825;0,6760825
238;0,7018025;0,622625;0,76721;0,56066
239;0,76721;0,8564875;0,76721;0,723605
240;0,76721;0,6742625;0,76721;0,5732825
241;0,7018025;0,6122975;0,76721;0,56066
242;0,76721;0,76721;0,76721;0,60197
243;0,7018025;0,5882;0,6646225;0,5327875
244;0,76721;0,7144725;0,773435;0,598525
245;0,8939225;0,956185;0,9359675;0,865125
246;0,9054425;0,94;0,94;0,8334475
247;0,79889;0,8421475;0,8276875;0,70124
248;0,9792375;0,9923675;0,9912525;0,96695
249;0,99475;1;0,9999425;0,99475
250;0,9609875;0,9895;0,9841225;0,954075
251;0,8132875;0,8334475;0,8276875;0,6645225
252;0,7431125;0,717255;0,7391125;0,602275
253;0,3759225;0,2721225;0,3254675;0,2290175
254;0,8475725;0,8545425;0,8621575;0,7995175
255;0,994915;1;0,9998375;0,99475
256;0,9998375;1;1;0,99659
257;1;1;1;1
258;1;1;1;1
259;0,9999425;1;1;0,997725
260;0,9950725;0,9973775;0,996065;0,99475
261;0,99475;0,99475;0,99475;0,9883625
262;0,99475;0,9948375;0,99475;0,9473
263;0,9983375;0,9997375;0,9989525;0,99659
264;1;1;1;1
265;1;1;1;1
266;0,9791625;0,9909;0,986075;0,9646
267;0,8276875;0,8334475;0,8276875;0,6645225
268;0,76721;0,6398375;0,76721;0,56066
269;0,7018025;0,5654775;0,6329525;0,5244275
270;0,7810475;0,7780475;0,802145;0,64142
271;0,46528;0,289815;0,3587175;0,263675
272;0,262155;0,112365;0,15943;0,09425
273;0,2515425;0,08459;0,15705;0,08459
274;0,1504025;0,082754;0,1087425;0,07081975
275;0,07931525;0,03976;0,04939925;0,027623
276;0,131688;0,07234975;0,082295;0,0593445
277;0,15705;0,08459;0,122025;0,08459
278;0,13893425;0,08459;0,08459;0,07311475
279;0,08459;0,05414225;0,07311475;0,038689
280;0,147655;0,10013725;0,10029025;0,0717455
281;0,3155675;0,23692;0,23005;0,19834
282;0,404735;0,42524;0,4220025;0,3574825
283;0,1514275;0,1326715;0,14780425;0,1019005
284;0,10874275;0,08459;0,08459;0,0669945
285;0,0639345;0,044809;0,044809;0,03160675
286;0,03027875;0,013814275;0,0174395;0,010273275
287;0,004885355;0,0007541;0,001243708;0,0007541
288;0,009344225;0,00098361;0,003398905;0,00098361
289;0,01443275;0,007114803;0,01257375;0,007114803
290;0,0470155;0,0410275;0,04424625;0,02681975
291;0,13652025;0,13893425;0,13531275;0,130923
292;0,12806525;0,12806525;0,12444275;0,09594075
293;0,21313;0,22557;0,224225;0,19834
294;0,3575925;0,38672;0,3835825;0,3575925
295;0,2926225;0,3262275;0,33071;0,2926225
296;0,25902;0,240325;0,25902;0,1998775
297;0,25902;0,2769425;0,25902;0,25868
298;0,299345;0,362075;0,25902;0,299005
299;0,174045;0,1706875;0,16729;0,12965675
300;0,148595;0,08459;0,08459;0,08459
301;0,08459;0,08459;0,08459;0,083162
302;0,0631695;0,0616395;0,0616395;0,040117
303;0,038689;0,038689;0,038689;0,038689
304;0,044809;0,042667;0,042667;0,038689
305;0,1095;0,113652;0,111272;0,087455
306;0,3638775;0,467345;0,4010325;0,4191975
307;0,3172675;0,351925;0,3329525;0,3178575
308;0,175745;0,170645;0,16729;0,12199325
309;0,1621475;0,16736;0,108293;0,1068205
310;0,3364775;0,39262;0,3311225;0,3277
311;0,19763;0,19946;0,191935;0,145478
312;0,148595;0,148595;0,1425575;0,08459
313;0,083162;0,080612;0,07770475;0,07311475
314;0,026838;0,019836;0,02275425;0,01525675
315;0,012131;0,00098361;0,012131;0,00098361
316;0,012131;0,00098361;0,002469958;0,00098361
317;0,005256805;0,00098361;0,00098361;0,00098361
318;0,00098361;0,00037705;0,00062295;0,00037705
319;0,00098361;0,000868855;0,00098361;0,000868855
320;0,006557377;0,00098361;0,002469958;0,00098361
321;0,012131;0,005256878;0,01178425;0,005256878
322;0,00377053;0,00098361;0,001330433;0,00098361
323;0,00098361;0,000786888;0,000953007;0,000786888
