id;pv_openfield
403;0
404;0
405;0
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0,003615
419;0,0104602
420;0,01324985
421;0,3741275
422;0,23852125
423;0,11502025
424;0,00353637
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0,0071633
443;0,01607005
444;0,016383425
445;0,3505325
446;0,28874
447;0,145113
448;0,0048474
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0,01898225
465;0,1483365
466;0,2246425
467;0,43491
468;0,318755
469;0,095073
470;0,13555475
471;0,11546
472;0,003484775
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0,0962665
490;0,19042275
491;0,2395225
492;0,26002
493;0,21521
494;0,16615675
495;0,06768175
496;0,00155376
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;0
512;0
513;0,021865225
514;0,046536
515;0,06347275
516;0,07050425
517;0,06460225
518;0,04778225
519;0,02400625
520;0,001524668
521;0
522;0
523;0
524;0
525;0
526;0
527;0
528;0
529;0
530;0
531;0
532;0
533;0
534;0
535;0
536;0
537;0
538;0,00642625
539;0,013213
540;0,01577075
541;0,01482225
542;0,009954075
543;0,00326801
544;0
545;0
546;0
547;0
548;0
549;0
550;0
551;0
552;0
553;0
554;0
555;0
556;0
557;0
558;0
559;0
560;0
561;0,01654
562;0,0367525
563;0,05141975
564;0,05694475
565;0,053001
566;0,039884
567;0,020624025
568;0,001616708
569;0
570;0
571;0
572;0
573;0
574;0
575;0
576;0
577;0
578;0
579;0
580;0
581;0
582;0
583;0
584;0
585;0,0039265
586;0,05633475
587;0,1334425
588;0,322625
589;0,3455625
590;0,45615
591;0,24337
592;0,032874768
593;0
594;0
595;0
596;0
597;0
598;0
599;0
600;0
601;0
602;0
603;0
604;0
605;0
606;0
607;0
608;0
609;0,12898725
610;0,261515
611;0,30025
612;0,36447
613;0,30376
614;0,1822475
615;0,1107055
616;0,002259558
617;0
618;0
619;0
620;0
621;0
622;0
623;0
624;0
625;0
626;0
627;0
628;0
629;0
630;0
631;0
632;0,010858933
633;0,2303575
634;0,37581
635;0,5215575
636;0,6221975
637;0,571945
638;0,4097075
639;0,2326675
640;0,020722525
641;0
642;0
643;0
644;0
645;0
646;0
647;0
648;0
649;0
650;0
651;0
652;0
653;0
654;0
655;0
656;0
657;0
658;0,005954075
659;0,013139575
660;0,01583525
661;0,3616925
662;0,2756375
663;0,1526395
664;0,010366908
665;0
666;0
667;0
668;0
669;0
670;0
671;0
672;0
673;0
674;0
675;0
676;0
677;0
678;0
679;0
680;0
681;0,08396525
682;0,1205775
683;0,300325
684;0,31715
685;0,619875
686;0,436535
687;0,272765
688;0,016000535
689;0
690;0
691;0
692;0
693;0
694;0
695;0
696;0
697;0
698;0
699;0
700;0
701;0
702;0
703;0
704;0
705;0,02383505
706;0,095601
707;0,077686
708;0,054935
709;0,334835
710;0,348695
711;0,30189
712;0,0668123
713;0
714;0
715;0
716;0
717;0
718;0
719;0
720;0
721;0
722;0
723;0
724;0
725;0
726;0
727;0
728;0,0150628
729;0,1521725
730;0,2130415
731;0,277866
732;0,474145
733;0,477165
734;0,419935
735;0,26121
736;0,054830025
737;0
738;0
739;0
740;0
741;0
742;0
743;0
744;0
745;0
746;0
747;0
748;0
749;0
750;0
751;0
752;0,0636738
753;0,1960975
754;0,23418525
755;0,298505
756;0,3811675
757;0,429165
758;0,4172975
759;0,30254
760;0,079335225
761;0
762;0
763;0
764;0
765;0
766;0
767;0
768;0
769;0
770;0
771;0
772;0
773;0
774;0
775;0
776;0,057946
777;0,20768
778;0,3663725
779;0,483145
780;0,5699875
781;0,558225
782;0,43012
783;0,2906125
784;0,077878075
785;0
786;0
787;0
788;0
789;0
790;0
791;0
792;0
793;0
794;0
795;0
796;0
797;0
798;0
799;0
800;0
801;0,027310275
802;0,0580565
803;0,07903925
804;0,07662125
805;0,060875
806;0,0420385
807;0,0234405
808;0,006064375
809;0
810;0
811;0
812;0
813;0
814;0
815;0
816;0
817;0
818;0
819;0
820;0
821;0
822;0
823;0
824;0,05547665
825;0,1817425
826;0,535755
827;0,531385
828;0,1515
829;0,022878025
830;0,0107725
831;0,0053098
832;0,000455863
833;0
834;0
835;0
836;0
837;0
838;0
839;0
840;0
841;0
842;0
843;0
844;0
845;0
846;0
847;0
848;0,084207
849;0,2704125
850;0,4910025
851;0,6052775
852;0,37178
853;0,3305
854;0,07127425
855;0,0289565
856;0,0137025
857;5,94E-05
858;0
859;0
860;0
861;0
862;0
863;0
864;0
865;0
866;0
867;0
868;0
869;0
870;0
871;0
872;0,077016
873;0,2321775
874;0,5145225
875;0,5903275
876;0,5584975
877;0,3159875
878;0,29725925
879;0,17346175
880;0,06649625
881;0,000139178
882;0
883;0
884;0
885;0
886;0
887;0
888;0
889;0
890;0
891;0
892;0
893;0
894;0
895;0
896;0
897;0,01584595
898;0,039088
899;0,05072125
900;0,05557975
901;0,459
902;0,3884475
903;0,240295
904;0,081147
905;0,00013147
906;0
907;0
908;0
909;0
910;0
911;0
912;0
913;0
914;0
915;0
916;0
917;0
918;0
919;0
920;0
921;0,015440575
922;0,0375395
923;0,05057375
924;0,05682375
925;0,055528
926;0,0440215
927;0,02656225
928;0,0057373
929;0
930;0
931;0
932;0
933;0
934;0
935;0
936;0
937;0
938;0
939;0
940;0
941;0
942;0
943;0
944;0,006572625
945;0,03379525
946;0,0888025
947;0,11596725
948;0,08221125
949;0,08828675
950;0,069721
951;0,03302425
952;0,010076175
953;9,02E-05
954;0
955;0
956;0
957;0
958;0
959;0
960;0
961;0
962;0
963;0
964;0
965;0
966;0
967;0
968;0,022187775
969;0,04938575
970;0,0786345
971;0,11812775
972;0,1195375
973;0,10059725
974;0,0900665
975;0,03288775
976;0,01589565
977;0,000208125
978;0
979;0
980;0
981;0
982;0
983;0
984;0
985;0
986;0
987;0
988;0
989;0
990;0
991;0
992;0,108863
993;0,28706
994;0,1033965
995;0,185885
996;0,14716
997;0,3264725
998;0,3199925
999;0,017215625
1000;0,00419285
1001;8,96E-05
1002;0
1003;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;0
1013;0
1014;0
1015;0
1016;0,0719368
1017;0,1364875
1018;0,351895
1019;0,296675
1020;0,08864025
1021;0,047983
1022;0,04484375
1023;0,060239
1024;0,03021685
1025;0,000479875
1026;0
1027;0
1028;0
