;PV_openfield_middle;PV_openfield_north;PV_openfield_swest;PV_openfield_east
417;0,133116;0,042163;0;0,028480075
418;0,23387475;0,0896325;0,003615;0,09403375
419;0,2790875;0,223765;0,0104602;0,19416325
420;0,28942;0,15745575;0,01324985;0,3078525
421;0,25648;0,050836;0,3741275;0,3083925
422;0,19702875;0,05868725;0,23852125;0,37605
423;0,0887885;0,0351835;0,11502025;0,167375
424;0,001008018;0,001073675;0,00353637;0,00454515
425;0;0;0;0
426;0;0;0;0
427;0;0;0;0
428;0;0;0;0
429;0;0;0;0
430;0;0;0;0
431;0;0;0;0
432;0;0;0;0
433;0;0;0;0
434;0;0;0;0
435;0;0;0;0
436;0;0;0;0
437;0;0;0;0
438;0;0;0;0
439;0;0;0;0
440;0;0;0;0
441;0;0,0509385;0;0,005342075
442;0,006512775;0,1021965;0,0071633;0,0220335
443;0,0206965;0,1333625;0,01607005;0,02774775
444;0,025134675;0,1447475;0,016383425;0,03006725
445;0,3145975;0,12826;0,3505325;0,324925
446;0,2594525;0,09191125;0,28874;0,22325
447;0,1441875;0,035979;0,145113;0,12319675
448;0,0029172;0,000768923;0,0048474;0,00076957
449;0;0;0;0
450;0;0;0;0
451;0;0;0;0
452;0;0;0;0
453;0;0;0;0
454;0;0;0;0
455;0;0;0;0
456;0;0;0;0
457;0;0;0;0
458;0;0;0;0
459;0;0;0;0
460;0;0;0;0
461;0;0;0;0
462;0;0;0;0
463;0;0;0;0
464;0;0;0,01898225;0
465;0;0,1260325;0,1483365;0
466;0,0040393;0,2114075;0,2246425;0,003434853
467;0,01015705;0,2641775;0,43491;0,008961775
468;0,011051875;0,2722175;0,318755;0,011225875
469;0,009846975;0,26176725;0,095073;0,0098466
470;0,0057546;0,20494275;0,13555475;0,0054398
471;0,001347487;0,08090975;0,11546;0,00136481
472;0;0,001087035;0,003484775;0
473;0;0;0;0
474;0;0;0;0
475;0;0;0;0
476;0;0;0;0
477;0;0;0;0
478;0;0;0;0
479;0;0;0;0
480;0;0;0;0
481;0;0;0;0
482;0;0;0;0
483;0;0;0;0
484;0;0;0;0
485;0;0;0;0
486;0;0;0;0
487;0;0;0;0
488;0;0;0;0
489;0,0191047;0,0235375;0,0962665;0,01694145
490;0,0408275;0,09163125;0,19042275;0,03818525
491;0,059058;0,187172;0,2395225;0,0598395
492;0,06712125;0,290365;0,26002;0,0666175
493;0,061857;0,2796225;0,21521;0,06101425
494;0,04327175;0,3199175;0,16615675;0,03913875
495;0,0204365;0,176046;0,06768175;0,02266025
496;0,000932915;0,00931131;0,00155376;0,001852485
497;0;0;0;0
498;0;0;0;0
499;0;0;0;0
500;0;0;0;0
501;0;0;0;0
502;0;0;0;0
503;0;0;0;0
504;0;0;0;0
505;0;0;0;0
506;0;0;0;0
507;0;0;0;0
508;0;0;0;0
509;0;0;0;0
510;0;0;0;0
511;0;0;0;0
512;0;0;0;0
513;0;0,020427675;0,021865225;0
514;0,00349467;0,0475225;0,046536;0,003338833
515;0,00948565;0,0741165;0,06347275;0,009714025
516;0,0124425;0,10126075;0,07050425;0,011437475
517;0,01126375;0,10060375;0,06460225;0,010921
518;0,006525025;0,07312325;0,04778225;0,006660225
519;0,001594925;0,0389665;0,02400625;0,001698982
520;0;0,003102988;0,001524668;0
521;0;0;0;0
522;0;0;0;0
523;0;0;0;0
524;0;0;0;0
525;0;0;0;0
526;0;0;0;0
527;0;0;0;0
528;0;0;0;0
529;0;0;0;0
530;0;0;0;0
531;0;0;0;0
532;0;0;0;0
533;0;0;0;0
534;0;0;0;0
535;0;0;0;0
536;0;0;0;0
537;0,026962;0;0;0,02726975
538;0,05693775;0,00482388;0,00642625;0,053877
539;0,07377025;0,010502025;0,013213;0,07537175
540;0,08163025;0,01289675;0,01577075;0,08317525
541;0,07646325;0,01171725;0,01482225;0,07640525
542;0,05715175;0,0076058;0,009954075;0,05335475
543;0,02758675;0,002146917;0,00326801;0,02553145
544;0,001592563;0;0;0,001174145
545;0;0;0;0
546;0;0;0;0
547;0;0;0;0
548;0;0;0;0
549;0;0;0;0
550;0;0;0;0
551;0;0;0;0
552;0;0;0;0
553;0;0;0;0
554;0;0;0;0
555;0;0;0;0
556;0;0;0;0
557;0;0;0;0
558;0;0;0;0
559;0;0;0;0
560;0;0;0;0,002915825
561;0,218478;0,016415275;0,01654;0,206825
562;0,29237;0,03756875;0,0367525;0,3190175
563;0,492935;0,0536165;0,05141975;0,497915
564;0,519925;0,059137;0,05694475;0,5352875
565;0,2947775;0,0540665;0,053001;0,29333
566;0,3027925;0,039604;0,039884;0,2845775
567;0,10321975;0,019752475;0,020624025;0,110496825
568;0,002722678;0,001228563;0,001616708;0,00151592
569;0;0;0;0
570;0;0;0;0
571;0;0;0;0
572;0;0;0;0
573;0;0;0;0
574;0;0;0;0
575;0;0;0;0
576;0;0;0;0
577;0;0;0;0
578;0;0;0;0
579;0;0;0;0
580;0;0;0;0
581;0;0;0;0
582;0;0;0;0
583;0;0;0;0
584;0;0;0;0
585;0,045034475;0,14875175;0,0039265;0,0359445
586;0,0813305;0,189377;0,05633475;0,07055525
587;0,1465195;0,2926975;0,1334425;0,1427735
588;0,1548845;0,3628;0,322625;0,1503775
589;0,312015;0,3401325;0,3455625;0,30188
590;0,21709525;0,1827235;0,45615;0,2063275
591;0,16611525;0,0901895;0,24337;0,158995
592;0,0043933;0,001701198;0,032874768;0,003278142
593;0;0;0;0
594;0;0;0;0
595;0;0;0;0
596;0;0;0;0
597;0;0;0;0
598;0;0;0;0
599;0;0;0;0
600;0;0;0;0
601;0;0;0;0
602;0;0;0;0
603;0;0;0;0
604;0;0;0;0
605;0;0;0;0
606;0;0;0;0
607;0;0;0;0
608;0;0;0;0
609;0,13891525;0,0634495;0,12898725;0,14067675
610;0,28129075;0,106109;0,261515;0,2797775
611;0,3105925;0,2472175;0,30025;0,274115
612;0,2973175;0,2629025;0,36447;0,27062
613;0,4828275;0,44496;0,30376;0,493365
614;0,398565;0,2961125;0,1822475;0,40742
615;0,24795;0,215195;0,1107055;0,1957625
616;0,031128525;0,007377725;0,002259558;0,0232133
617;0;0;0;0
618;0;0;0;0
619;0;0;0;0
620;0;0;0;0
621;0;0;0;0
622;0;0;0;0
623;0;0;0;0
624;0;0;0;0
625;0;0;0;0
626;0;0;0;0
627;0;0;0;0
628;0;0;0;0
629;0;0;0;0
630;0;0;0;0
631;0;0;0;0
632;0;0;0,010858933;0
633;0,008426325;0,19601575;0,2303575;0,009397525
634;0,024578;0,3418175;0,37581;0,0235
635;0,03732475;0,4310375;0,5215575;0,03529225
636;0,03854925;0,5017775;0,6221975;0,03873025
637;0,0336475;0,47953;0,571945;0,035222
