id;pv_openfield
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0,028480075
418;0,09403375
419;0,19416325
420;0,3078525
421;0,3083925
422;0,37605
423;0,167375
424;0,00454515
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0,005342075
442;0,0220335
443;0,02774775
444;0,03006725
445;0,324925
446;0,22325
447;0,12319675
448;0,00076957
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0,003434853
467;0,008961775
468;0,011225875
469;0,0098466
470;0,0054398
471;0,00136481
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0,01694145
490;0,03818525
491;0,0598395
492;0,0666175
493;0,06101425
494;0,03913875
495;0,02266025
496;0,001852485
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;0
512;0
513;0
514;0,003338833
515;0,009714025
516;0,011437475
517;0,010921
518;0,006660225
519;0,001698982
520;0
521;0
522;0
523;0
524;0
525;0
526;0
527;0
528;0
529;0
530;0
531;0
532;0
533;0
534;0
535;0
536;0
537;0,02726975
538;0,053877
539;0,07537175
540;0,08317525
541;0,07640525
542;0,05335475
543;0,02553145
544;0,001174145
545;0
546;0
547;0
548;0
549;0
550;0
551;0
552;0
553;0
554;0
555;0
556;0
557;0
558;0
559;0
560;0,002915825
561;0,206825
562;0,3190175
563;0,497915
564;0,5352875
565;0,29333
566;0,2845775
567;0,110496825
568;0,00151592
569;0
570;0
571;0
572;0
573;0
574;0
575;0
576;0
577;0
578;0
579;0
580;0
581;0
582;0
583;0
584;0
585;0,0359445
586;0,07055525
587;0,1427735
588;0,1503775
589;0,30188
590;0,2063275
591;0,158995
592;0,003278142
593;0
594;0
595;0
596;0
597;0
598;0
599;0
600;0
601;0
602;0
603;0
604;0
605;0
606;0
607;0
608;0
609;0,14067675
610;0,2797775
611;0,274115
612;0,27062
613;0,493365
614;0,40742
615;0,1957625
616;0,0232133
617;0
618;0
619;0
620;0
621;0
622;0
623;0
624;0
625;0
626;0
627;0
628;0
629;0
630;0
631;0
632;0
633;0,009397525
634;0,0235
635;0,03529225
636;0,03873025
637;0,035222
638;0,02498225
639;0,01145645
640;0,000881572
641;0
642;0
643;0
644;0
645;0
646;0
647;0
648;0
649;0
650;0
651;0
652;0
653;0
654;0
655;0
656;0,01243565
657;0,212076
658;0,3576
659;0,48501
660;0,6019425
661;0,51655
662;0,3914625
663;0,2196225
664;0,01283395
665;0
666;0
667;0
668;0
669;0
670;0
671;0
672;0
673;0
674;0
675;0
676;0
677;0
678;0
679;0
680;0
681;0
682;0,006976875
683;0,01420275
684;0,01475985
685;0,3248975
686;0,242025
687;0,13613125
688;0,0067043
689;0
690;0
691;0
692;0
693;0
694;0
695;0
696;0
697;0
698;0
699;0
700;0
701;0
702;0
703;0
704;0
705;0
706;0,007262478
707;0,0138115
708;0,01691645
709;0,307695
710;0,2389945
711;0,125582
712;0,007521595
713;0
714;0
715;0
716;0
717;0
718;0
719;0
720;0
721;0
722;0
723;0
724;0
725;0
726;0
727;0
728;0,00550115
729;0,0187225
730;0,04333225
731;0,062455
732;0,10065275
733;0,1015535
734;0,06218525
735;0,017909175
736;0,001459673
737;0
738;0
739;0
740;0
741;0
742;0
743;0
744;0
745;0
746;0
747;0
748;0
749;0
750;0
751;0
752;0
753;0,0163736
754;0,035966
755;0,044826
756;0,05115925
757;0,0442835
758;0,031715
759;0,0173565
760;0,001860447
761;0
762;0
763;0
764;0
765;0
766;0
767;0
768;0
769;0
770;0
771;0
772;0
773;0
774;0
775;0
776;0
777;0,014684375
778;0,0554965
779;0,11165625
780;0,1803125
781;0,31946
782;0,3432375
783;0,15336375
784;0,021445275
785;0
786;0
787;0
788;0
789;0
790;0
791;0
792;0
793;0
794;0
795;0
796;0
797;0
798;0
799;0
800;0,01211855
801;0,0819105
802;0,1969375
803;0,2723275
804;0,261035
805;0,2239675
806;0,1958925
807;0,078723
808;0,003056553
809;0
810;0
811;0
812;0
813;0
814;0
815;0
816;0
817;0
818;0
819;0
820;0
821;0
822;0
823;0
824;0
825;0,01476965
826;0,03825975
827;0,04959
828;0,048006
829;0,04106725
830;0,03299725
831;0,0194
832;0,004719235
833;0
834;0
835;0
836;0
837;0
838;0
839;0
840;0
841;0
842;0
843;0
844;0
845;0
846;0
847;0
848;0,0884435
849;0,20154825
850;0,2927425
851;0,36093
852;0,4014125
853;0,1739025
854;0,263084
855;0,2174025
856;0,07038475
857;0
858;0
859;0
860;0
861;0
862;0
863;0
864;0
865;0
866;0
867;0
868;0
869;0
870;0
871;0
872;0,0429979
873;0,16224175
874;0,2580425
875;0,346925
876;0,69639
877;0,194163
878;0,3349075
879;0,19174
880;0,07715225
881;0,000162938
882;0
883;0
884;0
885;0
886;0
887;0
888;0
889;0
890;0
891;0
892;0
893;0
894;0
895;0
896;0,017637
897;0,018243
898;0,0107136
899;0,10811125
900;0,350535
901;0,2887775
902;0,09466625
903;0,1318375
904;0,0779855
905;0,000153495
906;0
907;0
908;0
909;0
910;0
911;0
912;0
913;0
914;0
915;0
916;0
917;0
918;0
919;0
920;0,00467305
921;0,01909225
922;0,01513415
923;0,0544035
924;0,04731
925;0,482835
926;0,378485
927;0,2586325
928;0,0870605
929;0,00013792
930;0
931;0
932;0
933;0
934;0
935;0
936;0
937;0
938;0
939;0
940;0
941;0
942;0
943;0
944;0
945;0,004715875
946;0,0247363
947;0,04233
948;0,05770675
949;0,50027
950;0,406575
951;0,24589
952;0,08110525
953;0,000100855
954;0
955;0
956;0
957;0
958;0
959;0
960;0
961;0
962;0
963;0
964;0
965;0
966;0
967;0
968;0,048578975
969;0,09690975
970;0,085566
971;0,02340525
972;0,096692
973;0,470205
974;0,6031225
975;0,36019
976;0,10585825
977;0,0005647
978;0
979;0
980;0
981;0
982;0
983;0
984;0
985;0
986;0
987;0
988;0
989;0
990;0
991;0
992;0,10636375
993;0,28373
994;0,4340975
995;0,5431275
996;0,55061
997;0,47382
998;0,4178175
999;0,2531795
1000;0,072569
1001;0,000162735
1002;0
1003;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;0
1013;0
1014;0
1015;0
1016;0,081562
1017;0,203725
1018;0,34253
1019;0,34532
1020;0,372575
1021;0,36532
1022;0,258705
1023;0,17060625
1024;0,04867425
1025;0,000191253
1026;0
1027;0
1028;0
1029;0
1030;0
1031;0
1032;0
