;Hard_coal_2020;Hard_coal_2025;Hard_coal_2030;Hard_coal_2035;Hard_coal_2040;Hard_coal_2045;Hard_coal_2050
67;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
68;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
69;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
70;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
71;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
72;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
73;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
74;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
75;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
76;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
77;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
78;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
79;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
80;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
81;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
82;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
83;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
84;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
85;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
86;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
87;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
88;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
89;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
90;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
91;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
92;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
93;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
94;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
95;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
96;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
97;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
98;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
99;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
100;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
101;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
102;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
103;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
104;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
105;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
106;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
107;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
108;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
109;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
110;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
111;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
112;5,392819567;5,392819567;5,392819567;10000000;10000000;10000000;10000000
