id;gas_2020;gas_2025;gas_2030;gas_2035;gas_2040;gas_2045;gas_2050
232;38,6;35,1;23,08;22,56;22,56;20,2;17,6
233;38,6;35,1;23,08;22,56;22,56;20,2;17,6
234;38,6;35,1;23,08;22,56;22,56;20,2;17,6
235;38,6;35,1;23,08;22,56;22,56;20,2;17,6
236;38,6;35,1;23,08;22,56;22,56;20,2;17,6
237;38,6;35,1;23,08;22,56;22,56;20,2;17,6
238;38,6;35,1;23,08;22,56;22,56;20,2;17,6
239;38,6;35,1;23,08;22,56;22,56;20,2;17,6
240;38,6;35,1;23,08;22,56;22,56;20,2;17,6
241;38,6;35,1;23,08;22,56;22,56;20,2;17,6
242;38,6;35,1;23,08;22,56;22,56;20,2;17,6
243;38,6;35,1;23,08;22,56;22,56;20,2;17,6
244;38,6;35,1;23,08;22,56;22,56;20,2;17,6
245;38,6;35,1;23,08;22,56;22,56;20,2;17,6
246;38,6;35,1;23,08;22,56;22,56;20,2;17,6
247;38,6;35,1;23,08;22,56;22,56;20,2;17,6
248;38,6;35,1;23,08;22,56;22,56;20,2;17,6
249;38,6;35,1;23,08;22,56;22,56;20,2;17,6
250;38,6;35,1;23,08;22,56;22,56;20,2;17,6
251;38,6;35,1;23,08;22,56;22,56;20,2;17,6
252;38,6;35,1;23,08;22,56;22,56;20,2;17,6
253;38,6;35,1;23,08;22,56;22,56;20,2;17,6
254;38,6;35,1;23,08;22,56;22,56;20,2;17,6
255;38,6;35,1;23,08;22,56;22,56;20,2;17,6
256;38,6;35,1;23,08;22,56;22,56;20,2;17,6
257;38,6;35,1;23,08;22,56;22,56;20,2;17,6
258;38,6;35,1;23,08;22,56;22,56;20,2;17,6
259;38,6;35,1;23,08;22,56;22,56;20,2;17,6
260;38,6;35,1;23,08;22,56;22,56;20,2;17,6
261;38,6;35,1;23,08;22,56;22,56;20,2;17,6
262;38,6;35,1;23,08;22,56;22,56;20,2;17,6
263;38,6;35,1;23,08;22,56;22,56;20,2;17,6
264;38,6;35,1;23,08;22,56;22,56;20,2;17,6
265;38,6;35,1;23,08;22,56;22,56;20,2;17,6
266;38,6;35,1;23,08;22,56;22,56;20,2;17,6
267;38,6;35,1;23,08;22,56;22,56;20,2;17,6
268;38,6;35,1;23,08;22,56;22,56;20,2;17,6
269;38,6;35,1;23,08;22,56;22,56;20,2;17,6
270;38,6;35,1;23,08;22,56;22,56;20,2;17,6
271;38,6;35,1;23,08;22,56;22,56;20,2;17,6
272;38,6;35,1;23,08;22,56;22,56;20,2;17,6
273;38,6;35,1;23,08;22,56;22,56;20,2;17,6
274;38,6;35,1;23,08;22,56;22,56;20,2;17,6
275;38,6;35,1;23,08;22,56;22,56;20,2;17,6
276;38,6;35,1;23,08;22,56;22,56;20,2;17,6
277;38,6;35,1;23,08;22,56;22,56;20,2;17,6
278;38,6;35,1;23,08;22,56;22,56;20,2;17,6
279;38,6;35,1;23,08;22,56;22,56;20,2;17,6
280;38,6;35,1;23,08;22,56;22,56;20,2;17,6
281;38,6;35,1;23,08;22,56;22,56;20,2;17,6
282;38,6;35,1;23,08;22,56;22,56;20,2;17,6
283;38,6;35,1;23,08;22,56;22,56;20,2;17,6
284;38,6;35,1;23,08;22,56;22,56;20,2;17,6
285;38,6;35,1;23,08;22,56;22,56;20,2;17,6
286;38,6;35,1;23,08;22,56;22,56;20,2;17,6
287;38,6;35,1;23,08;22,56;22,56;20,2;17,6
288;38,6;35,1;23,08;22,56;22,56;20,2;17,6
289;38,6;35,1;23,08;22,56;22,56;20,2;17,6
290;38,6;35,1;23,08;22,56;22,56;20,2;17,6
291;38,6;35,1;23,08;22,56;22,56;20,2;17,6
292;38,6;35,1;23,08;22,56;22,56;20,2;17,6
293;38,6;35,1;23,08;22,56;22,56;20,2;17,6
294;38,6;35,1;23,08;22,56;22,56;20,2;17,6
295;38,6;35,1;23,08;22,56;22,56;20,2;17,6
296;38,6;35,1;23,08;22,56;22,56;20,2;17,6
297;38,6;35,1;23,08;22,56;22,56;20,2;17,6
298;38,6;35,1;23,08;22,56;22,56;20,2;17,6
299;38,6;35,1;23,08;22,56;22,56;20,2;17,6
300;38,6;35,1;23,08;22,56;22,56;20,2;17,6
301;38,6;35,1;23,08;22,56;22,56;20,2;17,6
302;38,6;35,1;23,08;22,56;22,56;20,2;17,6
303;38,6;35,1;23,08;22,56;22,56;20,2;17,6
304;38,6;35,1;23,08;22,56;22,56;20,2;17,6
305;38,6;35,1;23,08;22,56;22,56;20,2;17,6
306;38,6;35,1;23,08;22,56;22,56;20,2;17,6
307;38,6;35,1;23,08;22,56;22,56;20,2;17,6
308;38,6;35,1;23,08;22,56;22,56;20,2;17,6
309;38,6;35,1;23,08;22,56;22,56;20,2;17,6
310;38,6;35,1;23,08;22,56;22,56;20,2;17,6
311;38,6;35,1;23,08;22,56;22,56;20,2;17,6
312;38,6;35,1;23,08;22,56;22,56;20,2;17,6
313;38,6;35,1;23,08;22,56;22,56;20,2;17,6
314;38,6;35,1;23,08;22,56;22,56;20,2;17,6
315;38,6;35,1;23,08;22,56;22,56;20,2;17,6
316;38,6;35,1;23,08;22,56;22,56;20,2;17,6
317;38,6;35,1;23,08;22,56;22,56;20,2;17,6
318;38,6;35,1;23,08;22,56;22,56;20,2;17,6
319;38,6;35,1;23,08;22,56;22,56;20,2;17,6
320;38,6;35,1;23,08;22,56;22,56;20,2;17,6
321;38,6;35,1;23,08;22,56;22,56;20,2;17,6
322;38,6;35,1;23,08;22,56;22,56;20,2;17,6
323;38,6;35,1;23,08;22,56;22,56;20,2;17,6
324;38,6;35,1;23,08;22,56;22,56;20,2;17,6
325;38,6;35,1;23,08;22,56;22,56;20,2;17,6
326;38,6;35,1;23,08;22,56;22,56;20,2;17,6
327;38,6;35,1;23,08;22,56;22,56;20,2;17,6
328;38,6;35,1;23,08;22,56;22,56;20,2;17,6
329;38,6;35,1;23,08;22,56;22,56;20,2;17,6
330;38,6;35,1;23,08;22,56;22,56;20,2;17,6
331;38,6;35,1;23,08;22,56;22,56;20,2;17,6
332;38,6;35,1;23,08;22,56;22,56;20,2;17,6
333;38,6;35,1;23,08;22,56;22,56;20,2;17,6
334;38,6;35,1;23,08;22,56;22,56;20,2;17,6
335;38,6;35,1;23,08;22,56;22,56;20,2;17,6
336;38,6;35,1;23,08;22,56;22,56;20,2;17,6
337;38,6;35,1;23,08;22,56;22,56;20,2;17,6
338;38,6;35,1;23,08;22,56;22,56;20,2;17,6
339;38,6;35,1;23,08;22,56;22,56;20,2;17,6
340;38,6;35,1;23,08;22,56;22,56;20,2;17,6
341;38,6;35,1;23,08;22,56;22,56;20,2;17,6
342;38,6;35,1;23,08;22,56;22,56;20,2;17,6
343;38,6;35,1;23,08;22,56;22,56;20,2;17,6
344;38,6;35,1;23,08;22,56;22,56;20,2;17,6
345;38,6;35,1;23,08;22,56;22,56;20,2;17,6
346;38,6;35,1;23,08;22,56;22,56;20,2;17,6
347;38,6;35,1;23,08;22,56;22,56;20,2;17,6
348;38,6;35,1;23,08;22,56;22,56;20,2;17,6
349;38,6;35,1;23,08;22,56;22,56;20,2;17,6
350;38,6;35,1;23,08;22,56;22,56;20,2;17,6
351;38,6;35,1;23,08;22,56;22,56;20,2;17,6
352;38,6;35,1;23,08;22,56;22,56;20,2;17,6
353;38,6;35,1;23,08;22,56;22,56;20,2;17,6
354;38,6;35,1;23,08;22,56;22,56;20,2;17,6
355;38,6;35,1;23,08;22,56;22,56;20,2;17,6
356;38,6;35,1;23,08;22,56;22,56;20,2;17,6
357;38,6;35,1;23,08;22,56;22,56;20,2;17,6
358;38,6;35,1;23,08;22,56;22,56;20,2;17,6
359;38,6;35,1;23,08;22,56;22,56;20,2;17,6
360;38,6;35,1;23,08;22,56;22,56;20,2;17,6
361;38,6;35,1;23,08;22,56;22,56;20,2;17,6
362;38,6;35,1;23,08;22,56;22,56;20,2;17,6
363;38,6;35,1;23,08;22,56;22,56;20,2;17,6
364;38,6;35,1;23,08;22,56;22,56;20,2;17,6
365;38,6;35,1;23,08;22,56;22,56;20,2;17,6
366;38,6;35,1;23,08;22,56;22,56;20,2;17,6
367;38,6;35,1;23,08;22,56;22,56;20,2;17,6
368;38,6;35,1;23,08;22,56;22,56;20,2;17,6
369;38,6;35,1;23,08;22,56;22,56;20,2;17,6
370;38,6;35,1;23,08;22,56;22,56;20,2;17,6
371;38,6;35,1;23,08;22,56;22,56;20,2;17,6
372;38,6;35,1;23,08;22,56;22,56;20,2;17,6
373;38,6;35,1;23,08;22,56;22,56;20,2;17,6
374;38,6;35,1;23,08;22,56;22,56;20,2;17,6
375;38,6;35,1;23,08;22,56;22,56;20,2;17,6
376;38,6;35,1;23,08;22,56;22,56;20,2;17,6
377;38,6;35,1;23,08;22,56;22,56;20,2;17,6
378;38,6;35,1;23,08;22,56;22,56;20,2;17,6
379;38,6;35,1;23,08;22,56;22,56;20,2;17,6
380;38,6;35,1;23,08;22,56;22,56;20,2;17,6
381;38,6;35,1;23,08;22,56;22,56;20,2;17,6
382;38,6;35,1;23,08;22,56;22,56;20,2;17,6
383;38,6;35,1;23,08;22,56;22,56;20,2;17,6
384;38,6;35,1;23,08;22,56;22,56;20,2;17,6
385;38,6;35,1;23,08;22,56;22,56;20,2;17,6
386;38,6;35,1;23,08;22,56;22,56;20,2;17,6
387;38,6;35,1;23,08;22,56;22,56;20,2;17,6
388;38,6;35,1;23,08;22,56;22,56;20,2;17,6
389;38,6;35,1;23,08;22,56;22,56;20,2;17,6
390;38,6;35,1;23,08;22,56;22,56;20,2;17,6
391;38,6;35,1;23,08;22,56;22,56;20,2;17,6
392;38,6;35,1;23,08;22,56;22,56;20,2;17,6
393;38,6;35,1;23,08;22,56;22,56;20,2;17,6
394;38,6;35,1;23,08;22,56;22,56;20,2;17,6
395;38,6;35,1;23,08;22,56;22,56;20,2;17,6
396;38,6;35,1;23,08;22,56;22,56;20,2;17,6
397;38,6;35,1;23,08;22,56;22,56;20,2;17,6
398;38,6;35,1;23,08;22,56;22,56;20,2;17,6
399;38,6;35,1;23,08;22,56;22,56;20,2;17,6
400;38,6;35,1;23,08;22,56;22,56;20,2;17,6
401;38,6;35,1;23,08;22,56;22,56;20,2;17,6
402;38,6;35,1;23,08;22,56;22,56;20,2;17,6
403;38,6;35,1;23,08;22,56;22,56;20,2;17,6
404;38,6;35,1;23,08;22,56;22,56;20,2;17,6
405;38,6;35,1;23,08;22,56;22,56;20,2;17,6
406;38,6;35,1;23,08;22,56;22,56;20,2;17,6
407;38,6;35,1;23,08;22,56;22,56;20,2;17,6
408;38,6;35,1;23,08;22,56;22,56;20,2;17,6
409;38,6;35,1;23,08;22,56;22,56;20,2;17,6
410;38,6;35,1;23,08;22,56;22,56;20,2;17,6
411;38,6;35,1;23,08;22,56;22,56;20,2;17,6
412;38,6;35,1;23,08;22,56;22,56;20,2;17,6
413;38,6;35,1;23,08;22,56;22,56;20,2;17,6
414;38,6;35,1;23,08;22,56;22,56;20,2;17,6
415;38,6;35,1;23,08;22,56;22,56;20,2;17,6
416;38,6;35,1;23,08;22,56;22,56;20,2;17,6
417;38,6;35,1;23,08;22,56;22,56;20,2;17,6
418;38,6;35,1;23,08;22,56;22,56;20,2;17,6
419;38,6;35,1;23,08;22,56;22,56;20,2;17,6
420;38,6;35,1;23,08;22,56;22,56;20,2;17,6
421;38,6;35,1;23,08;22,56;22,56;20,2;17,6
422;38,6;35,1;23,08;22,56;22,56;20,2;17,6
423;38,6;35,1;23,08;22,56;22,56;20,2;17,6
424;38,6;35,1;23,08;22,56;22,56;20,2;17,6
425;38,6;35,1;23,08;22,56;22,56;20,2;17,6
426;38,6;35,1;23,08;22,56;22,56;20,2;17,6
427;38,6;35,1;23,08;22,56;22,56;20,2;17,6
428;38,6;35,1;23,08;22,56;22,56;20,2;17,6
429;38,6;35,1;23,08;22,56;22,56;20,2;17,6
430;38,6;35,1;23,08;22,56;22,56;20,2;17,6
431;38,6;35,1;23,08;22,56;22,56;20,2;17,6
432;38,6;35,1;23,08;22,56;22,56;20,2;17,6
433;38,6;35,1;23,08;22,56;22,56;20,2;17,6
434;38,6;35,1;23,08;22,56;22,56;20,2;17,6
435;38,6;35,1;23,08;22,56;22,56;20,2;17,6
436;38,6;35,1;23,08;22,56;22,56;20,2;17,6
437;38,6;35,1;23,08;22,56;22,56;20,2;17,6
438;38,6;35,1;23,08;22,56;22,56;20,2;17,6
439;38,6;35,1;23,08;22,56;22,56;20,2;17,6
440;38,6;35,1;23,08;22,56;22,56;20,2;17,6
441;38,6;35,1;23,08;22,56;22,56;20,2;17,6
442;38,6;35,1;23,08;22,56;22,56;20,2;17,6
443;38,6;35,1;23,08;22,56;22,56;20,2;17,6
444;38,6;35,1;23,08;22,56;22,56;20,2;17,6
445;38,6;35,1;23,08;22,56;22,56;20,2;17,6
446;38,6;35,1;23,08;22,56;22,56;20,2;17,6
447;38,6;35,1;23,08;22,56;22,56;20,2;17,6
448;38,6;35,1;23,08;22,56;22,56;20,2;17,6
449;38,6;35,1;23,08;22,56;22,56;20,2;17,6
450;38,6;35,1;23,08;22,56;22,56;20,2;17,6
451;38,6;35,1;23,08;22,56;22,56;20,2;17,6
452;38,6;35,1;23,08;22,56;22,56;20,2;17,6
453;38,6;35,1;23,08;22,56;22,56;20,2;17,6
454;38,6;35,1;23,08;22,56;22,56;20,2;17,6
455;38,6;35,1;23,08;22,56;22,56;20,2;17,6
456;38,6;35,1;23,08;22,56;22,56;20,2;17,6
457;38,6;35,1;23,08;22,56;22,56;20,2;17,6
458;38,6;35,1;23,08;22,56;22,56;20,2;17,6
459;38,6;35,1;23,08;22,56;22,56;20,2;17,6
460;38,6;35,1;23,08;22,56;22,56;20,2;17,6
461;38,6;35,1;23,08;22,56;22,56;20,2;17,6
