;Brown_coal_2020;Brown_coal_2025;Brown_coal_2030;Brown_coal_2035;Brown_coal_2040;Brown_coal_2045;Brown_coal_2050
74;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
75;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
76;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
77;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
78;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
79;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
80;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
81;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
82;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
83;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
84;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
85;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
86;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
87;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
88;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
89;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
90;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
91;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
92;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
93;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
94;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
95;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
96;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
97;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
98;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
99;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
100;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
101;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
102;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
103;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
104;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
105;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
106;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
107;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
108;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
109;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
110;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
111;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
112;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
113;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
114;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
115;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
116;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
117;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
118;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
119;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
120;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
121;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
122;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
123;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
124;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
125;8,798929188;8,798929188;8,798929188;10000000;10000000;10000000;10000000
